tower_id,latitude,longitude,operator,technology,data_source
30766851,31.6976,74.3194,1,LTE,REAL PUBLIC DATA
31568643,31.4706,74.3218,1,LTE,REAL PUBLIC DATA
32452098,31.3987,74.2636,1,LTE,REAL PUBLIC DATA
32007681,31.5548,74.3483,1,LTE,REAL PUBLIC DATA
32452099,31.3987,74.2608,1,LTE,REAL PUBLIC DATA
32260613,31.4327,74.2823,1,LTE,REAL PUBLIC DATA
32260620,31.3999,74.2609,1,LTE,REAL PUBLIC DATA
32260609,31.4082,74.261,1,LTE,REAL PUBLIC DATA
32260614,31.4081,74.2616,1,LTE,REAL PUBLIC DATA
33198083,31.4146,74.2612,1,LTE,REAL PUBLIC DATA
33198084,31.4167,74.2594,1,LTE,REAL PUBLIC DATA
33198090,31.4172,74.2549,1,LTE,REAL PUBLIC DATA
32479745,31.4259,74.2573,1,LTE,REAL PUBLIC DATA
32216328,31.4217,74.2603,1,LTE,REAL PUBLIC DATA
32216322,31.4325,74.2652,1,LTE,REAL PUBLIC DATA
32451585,31.4365,74.2689,1,LTE,REAL PUBLIC DATA
32481029,31.4384,74.2729,1,LTE,REAL PUBLIC DATA
31608323,31.4424,74.2757,1,LTE,REAL PUBLIC DATA
30820354,31.3962,74.262,1,LTE,REAL PUBLIC DATA
30820355,31.4244,74.2682,1,LTE,REAL PUBLIC DATA
31797251,31.4393,74.2709,1,LTE,REAL PUBLIC DATA
31797249,31.4393,74.2709,1,LTE,REAL PUBLIC DATA
30755585,31.4393,74.2709,1,LTE,REAL PUBLIC DATA
31109387,31.4959,74.302,1,LTE,REAL PUBLIC DATA
30810121,31.5068,74.312,1,LTE,REAL PUBLIC DATA
30749954,31.4991,74.3044,1,LTE,REAL PUBLIC DATA
30749953,31.5138,74.3173,1,LTE,REAL PUBLIC DATA
30930179,31.5305,74.3331,1,LTE,REAL PUBLIC DATA
31613441,31.5381,74.3417,1,LTE,REAL PUBLIC DATA
33081602,31.5397,74.343,1,LTE,REAL PUBLIC DATA
30879747,31.5483,74.3463,1,LTE,REAL PUBLIC DATA
30879745,31.5483,74.3463,1,LTE,REAL PUBLIC DATA
31511816,31.5483,74.3463,1,LTE,REAL PUBLIC DATA
31511817,31.5483,74.3463,1,LTE,REAL PUBLIC DATA
33197826,31.5586,74.3494,1,LTE,REAL PUBLIC DATA
31511811,31.5586,74.3494,1,LTE,REAL PUBLIC DATA
33081601,31.5443,74.3453,1,LTE,REAL PUBLIC DATA
30930178,31.5419,74.3421,1,LTE,REAL PUBLIC DATA
31785729,31.533,74.3323,1,LTE,REAL PUBLIC DATA
31109388,31.5049,74.3113,1,LTE,REAL PUBLIC DATA
31596290,31.5181,74.3193,1,LTE,REAL PUBLIC DATA
33082144,31.4713,74.3013,1,LTE,REAL PUBLIC DATA
31798273,31.4679,74.296,1,LTE,REAL PUBLIC DATA
31798274,31.4668,74.294,1,LTE,REAL PUBLIC DATA
32481281,31.4615,74.2857,1,LTE,REAL PUBLIC DATA
32481283,31.4596,74.2829,1,LTE,REAL PUBLIC DATA
32480820,31.4389,74.2773,1,LTE,REAL PUBLIC DATA
33198101,31.4282,74.2597,1,LTE,REAL PUBLIC DATA
33078529,31.421,74.2671,1,LTE,REAL PUBLIC DATA
